index,title,topic_idx
0,시진핑 “중한관계 떼려야 뗄 수 없어… 방한 진지하게 검토”,4
1,귀경 본격화 고속도로 정체 부산역 김해공항 등도 북새통,4
2,우산 나눠쓰는 시민,4
3,한국콜마 기후위기 극복에 진심…지속가능 세미나 개최,4
4,[영상구성] 전 세계 밤하늘에 떠오른 슈퍼 블루문,4
5,부산 도심 버스승강장에 멧돼지 출현…엽사 출동,4
6,쌍계사·용추사 등 일주문 6건 ‘보물’ 지정 예고,4
7,일교차 큰 날씨 이어져..한낮 30도 안팎 무더위,4
8,中 일본산 수산물 수입금지 WTO 통보,4
9,국회 문체위원장 만나 U대회 지원 요청하는 홍성국 의원,4
10,울산시 효문공단 ‘저탄소 그린산단’ 조성 본격화,4
11,청량리 초고층 주복 프리미엄 어느새 6억…거래량도 쑥,4
12,[포토]식물성 대안식 브랜드 '유아왓유잇' 론칭,4
13,국민연금 ‘소득대체율 논쟁’을 이해하는 4가지 쟁점,4
14,5대 은행 가계대출 4개월 연속 증가…주담대 2조원 이상 늘어,4
15,'창업가 정신 건강 워크숍' 열린다…엔젤투자자도 후원,4
16,[르포] ‘90명 우르르’ 관광버스 만석…명동 귀환한 ‘손큰’ 유커 [언박싱],4
17,印 인프라·인력 퀄리티 높아져…글로벌 공급망 진입할 준비 완료,4
18,“최고의 맛 찾는다”…전북 익산서 식품 축제 ‘NS푸드페스타’ 개막,4
19,괴산서 펜션 화재…이용객 11명 연기 흡입해 병원 이송,4
20,김기현 강서구 총력 지원…추석 전후 6차례 방문,4
21,코로나 이어 암 정복 도전…'mRNA 산업화' 이끈 두 과학자,4
22,"野 밤샘 의총으로 오염수 저지투쟁…""민심의 바다에 몸던지자""(종합)",4
23,창작자 멤버십 커뮤니티 '스테디오' 개별 콘텐츠 유료화 서비스 도입,4
24,[날씨] 내일 개천절 큰 일교차 유의...수요일 중서부 비,4
25,바클레이즈 오라클 비중확대로 상향...목표가 150달러,4
26,비빔빵·비건카레·나물밥… 고속도로 휴게소에서 뭐 먹지?,4
